sentiment,tweets
-1,çay içerken aklımdan geçenler reklamsız şekilde hizmete devam edebilmesi bağış dilenirken tivitinin 25 ’a alıcı bulması 1 sene sonra tiviti tekrar okuduğumda covid19 salgınının hala devam ihtimali pazarkeyfi
-1,canınızla sınayacağız bakara 155 andolsun biraz korku açlıkla mallardan canlardan ürünlerden eksiltmekle sınayacağız sabredenleri müjdele
-1,arkadaşlar çalışabilirdiniz boş yapmayın isterseniz çoğunuz covid çalışmadığı sınavı istemediklerini gayet iyi biliyorum
-1,film covid-19 sonrasını anlatıyor zombi salgınına hazır olun labirent alev deneyleri filmi uyumlu kovid19 film zombi kıyamet salgın
-1,merhaba adm mustafa susam garsonluk yapıyordum pandemi nedeni işsiz kaldım faturalar duruyor kirayı veremedim allah rızası yardım bekliyorum kötü durumdayım lütfen dalga geçmeyin sn çare 0006 2000 3020 0006 629917 garanti bankası lütfn gerçekten zor durum
-1,lütfen okulları kapatın okullarımızda korona stres içerisinde okullarda bilmiyor lütfen okulları kapatın
-1,perakendeciliğe verdiğin önemi eğitimede verseydiniz pandemi döneminde savunduğun marketleri yağmalalarcasına saldırmanın eğitimli olmanın vatandaşı kurtaracağını bilirdin serbest piyasa ekonomisini bilen vatandaş burda ekonomi gazeli okuma
-1,öğrencilerölmekistemiyor merhaba arkadaşlar kanalıma hoş geldiniz bugün bitlikte ^okulda sınav olurken korona kapmama challenge^ yapıcazz
-1,aşı seçme olmayı erteleme lüksümüz olmamalı tek fark birinde enfekte olduğunuzu anlamadan geçirmeniz diğerinde kısa süreli boğaz eklem ağrınızın hafif ateşlenmeniz hepsi̇ ağır hastalanmayı yüksek oranda ölümleri engelliyor‼
-1,eskiden pazar akşamı oturur lig maçlarının kısmen özetlerini izlerdim internet sitesinden klasik pazar akşamı eğlencelerinden biriydi pandemi birlikte artık umrumda değiller
-1,kızılaya bağışlanan kanlar hepatit b/c aıds frengi testleri yapıldıktan sonra depolara gönderiliyor bildiğim kadarıyla testler zorunlu son dönemde covid 19 testi yapılıyodur tahmin ediyorum
-1,yıldır pandemi nedeniyle psikolojisi yerle üstüne pandemiden sevdiklerini yakınlarını kaybedip üzerine 6 milyonla yarın sınava girecek liselilere dakikalık saygı duruşu
-1,sevgili ersin kardeş cim bom geçen sezon pandemi olana maç kazanmıştı sonra lige pandemi arası tekrar başladı kayıp senede galibiyet sonrası hüsran maçlık başarı ugursuz geliyor
-1,gerçekten komiksiniz hafta önce sınavları korona yüzünden iptal edilsin diyenler şimdi vaka sayıları artsın sınavlar iptal edilsin diyorlar sinavvarsabizyokuz sinavlariptalolsun okullaragitmiyoruzsınavlaragirmiyoruz
-1,tehlikeli sınavlara toplu tasımalarla vs gelenler olacak corona ooopitipiti yapar artık saatten sonra cıkıp iptal demezler artık ziya selcugun bugün birilerini unflaması falan gündem degistirmek icindi iptal olmayacagı belli oldugu halde anda+
1,yardımcıoğlu ‘kadınlar sağlıklı huzurlu toplumun temel taşlarıdır’ aracılığıyla haber sonhaberajansi kahramanmaraş yardımoğlu kadın kadınlargünü 8mart coronavirus covid19
-1,öğretmenim aşı randevumun olmadığını sistemden öğrendim öğretmenler risk grubunda midir virüse yakalanmama garantisi vardır sn bakanım
-1,rublev atp 500 seviyede üst üste galibiyet aldı 4 kupa kazandı pandemi sonrası hamburg petersburg viyana uzun seriler 2009'dan 28 federer 21 murray 19 nadal 17 djokovic/potro i̶n̶d̶y̶ andrey 500
-1,karda mahsur kalan insanları jandarma ekipleri kurtardı aracılığıyla haber sonhaberajansi kahramanmaraş snow winter jandarma mahsur insan coronavirus covid19
-1,hayvan kökenli hastalıklar insana geçiyor covid-19 insana hayvandan bulaştı profdrçağan şekercioğlu gündemötesi’nde anlattı
-1,aynen gun olecegime gun ecelimizle olelim yazık yasamak eve kapan doya doya nefes alama oksijensiz kal oksijensiz kalmaktan kork herseyi covid işsiz kal isyerin kapansin yasamak
-1,insan tedavi sağlam gittiği hastaneden ölü çıktı insan aşı yaptırdıktan sonra hasta maalesef tv'ye vermiyorlar salgınsahteyasaklarkalksın
-1,fedakârca çalışıp covid 19 pandemisinde 400 şehit verip aşağılanan şiddet gören hakları gasp edilen sağlık personelinden başka meslek grubu varmıdır bilmiyorum ⁉ 1milyonsağlıkçalışanıdiyorki
-1,korona kısıtlaması getiriyorsan sosyal devlet olacaksın vatandaşına yardım edeceksin 1000 tl komik sayılar olmayacak adam akıllı olacak tabii komplocu virüs yalan diyen insanlar değiliz şeyin usulü vardır
-1,anlamak okudum kılıçdaroğlu yönetiyormuş aşı alımı programını hayırpeki yapmış kılıçdaroğlu halkın parasının hesabını sormuşbedava yazan şeye 12 dolar ödediniz demiş soruyorum aracı şirket
1,pandemi dönemi 7 yaşındaki oğlumun tablet bağımlısı düşünürken bugün hamakormangünbatımı deneyimimiz sonrası ruhunda kampçılık görmüş oluyorum bekle yarın sana geliyoruz
1,biriyle flört sevgili evlilik aşamasına geçmek kolay pandemi durduramadı
1,pandemi süreci nereden baksan işime yaradı dostu düşmanı öğrendik
-1,normalde sinavimi oldum kasimda olmustum gruba ayirdilar diger gruptan arkadasim corona dedi sosyal mesafemi korudum maskemi taktim dedi halindeydi simdi mutasyonlu virus
-1,sınavları pandemi yüzünden kolay yapıcaz diyen hocalar ekstradan zor soru soruyor denemek komikmiş gülim öğrencilerölmekistemiyor
-1,tamam umursamıyorsunuz azından ailelerimizi umursayın bazılarımızın evlerinde neneleridedeleri kronik hastalığı ebeveynleri yaşıyor ailemizden birisi korona yüzünden ölse hesabını vereceksiniz vebalini taşıyacaksınız ++
1,pandemi sürecinde zaman büyük özveri çalışan sağlık çalışanları özlük haklarında iyileşmeyi fazlasıyla hak bence sağlıkçıyasahipçık
-1,corona olursam sefer ölürüm şakası kronik hastayım kere corona geçirdim -hastanede- bence yaşadığımı sorun kardeşinin çalışıyor olmasına sevindim hayatım kağıt parçasına bağlı olmasını istemiyorum +++
-1,gerçek dijital para sistemine geçerken para sirkülasyonunu azaltmak isteniyor bill gates denen ruh hastasına aşı bahanesi para aktarılıyor dijital para altyapısını salgınsahteyasaklarkalksın
-1,korona gribinin bulaşmadığı yerler bodrum antalya çeşme güney sahilleri kartepe uludağ kayak merkezleri cumhurbaşkanının mitingleri acun'un programları maçlar dizi çekimleri havalimanı'ndaki kafeler uçakların otobüslerin içleri salgınsahteyasaklarkalksın
-1,online gördüğümüz egitimden yüze sınav oluyoruzneden ailemizin sağlığını düşünmüyor ogrencilerolmekistemiyor sınavagitmiyoruz sınavlarertelensin lisesınavlarıi̇ptalolsun ertelemdeğiliptalistiyoruz covid19
-1,bıkmadan usanmadan sorun vekilim yeni aşı sevkiyatı yapılmıyor bekleniyor aşı büyük koz değilmi covid ricamiz yerde sorun lütfen
-1,millet zor zamanlarında savundu hala pandemi zulmüne sabrediyor milletin halinden anlayıp sesini duyacak allah'ın kulu vahim tablo yaşanan onsa mağduriyet sıkıntıya hamaset edebiyatı artık ilaç olmuyor görmüyorlar maalesef
-1,i̇lk önce yerli isim kullanın leon beysizin ufkunuza yakışmıyor isim yerli aşı yokimam hatip okullarından yetisecekler geliştirecek yerli silahı bekleyin
1,pandemi günlerinde kemalpaşa halkının vazgeçilmez zevki opet shellde kahve içmek
-1,karısının boğazını 4 çocuğunun gözü önünde keserek öldüren şerefsiz hak kul hakkından bahsetmiş bide aramıza sızıyorlar takip ortak 23 arkadaş kontrol etsin derim
1,gerek okullar gerek yerleri kapalı kalabalık mekanlarda pencerelerin açık tutulması fanlar hava filtreleriyle havalandırmalar yoluyla covid-19 yayılımı azaltılabiliroldukça kapsamlı anlaşılır makale
-1,ülkede korona öncesi ülke genelinde günlük ortalama üzerinde ölümler şimdi yarın çıkıp 300 kişi koronadan öldü denilirse meçbur yiyeceğiz
-1,cavit19 demiyor kimsebende demiyorummaskeye mesafeye aşı karşıyım ters tez kalsın sigaraya bağlı sebeplerden insan ölüyor sigara denmiyorakciğer yetmezliği deniyor karaciğer yetmezliği deniyor sigara denmiyor düşün
1,covid-19 kadın liderler buluşuyor zirvesi”ne dünya belediyeleri birlikte katılan abb kadına yönelik şiddet konusunda “turuncu maske” projesiyle farkındalık kampanyasını kazanan belediyelerden kadınaşiddetehayır hergünbenimgünüm
-1,risk haritasında yüksek riskli şehrimin sokakları yarın kan kırmızısı boyanacak yarın covid bol siftahlı gün öğrencilerölmekistemiyor
-1,pcr testini tani kiti yutturdunuz influenzayi korona yutturdunuz enaz 5yilda bulunmasi gereken aşiyi teknoloji ilerledi ayda yutturdunuz artık yemiyoruzz salgınsahteyasaklarkalksın
1,yeni zelanda'daki ilk covid-19 vakasının teyit edilmesinin üzerinden tam 1 yıl geçti süreçte ülke koronavirüsle mücadelede dünyanın takdirini topladı son günlerde sıkıntılar i̇şte ayrıntıları
1,pandemi sürecinde özlediğim büyük ablukada konserine gitmek sanırım
-1,türlü iyi örneği tabii duyalım i̇ngiltere’de yaşıyorum aşı hariç süreç yanlış yönetildi gerçekten iyi örnek görünce şaşırdım capita ölüm sorunun büyüklüğünü açık gösteriyor
-1,yazdığım sistemi pandemi sürecini alarak eleştirmişim yanlış okuyan sensin sanırım demek istediğim yanlış yere çekmek soruna sorun gözüyle bakmaya dersin arkadaşım çocuk işçi reşit ekonomide maalesef geçinebilmek adına
-1,korona virüs ciddi boyuttayken yüze sınav çocukların sağlığını tehlikeye atmaktır sınavlar iptal edilsin ögrencilerölmekistemiyor
-1,dünya corona önlemler alınmadı kadınlara zulümlerde peki kadınlar öldüğü kadinasiddetehayır
1,ayasofya'nın ibadete açilması hayırlı i̇nsallah kısa sürede pandemi biter nasip görmek ayasofyacamii
-1,öğrencilerölmekistemiyor allah göstermesi̇n hocam diyelimki 1 tane öğrencimiz covid-19 yakalandı vefat hesabını vercek
-1,esenyurt kadın komisyonu ilçemizdeki devlet hastanemizi pandemi koşullarına uygun ziyaret ettik kurumumuzun hediyelerini ailelerimize teslim ettik
-1,hocam 25 aydır 65 yaş altına aşı yapılmadı rezi̇l aşı sisteminde yaşamaktan bunaldım yakın çevrede yurtdışında yaşayan valla garsonluk yapmaya razıyım yeter ülkeden gideyim yaşım 21 erkeğim yakınlarınıza belirtiniz
1,pandemi savaşta sağlık ordusu önemli hemşireler sahada yetersiz bizler evde atama bekliyoruz pandemide bizimde destek vermemize fırsat vermiyorsunuz sayin bakanım atama bekliyoruz
-1,sevgilim pandemi döneminde evde kediyle böcekle çiçekle konuşmak normal tersini idda ediyorsanız sıkıntı çarşamba 1600da psikolog terminim
0,istediğini biliyorum eskişehir eskişehirseks korona karantina bağlar tepebaşı odunpazarı sugardaddy fuckbody eskişehirpartner kiralıksevgili sugarbabywanted
-1,güruh okuyun siyasete bağlamayıncepheleşmeyin birlikte yaşamayı öğrenin covid olunca veri gizleniyor konuda dış kaynak göstermek mallıktır dünyaya ininiz
0,arasam i̇nşallah korona biter dua dünyanın yerinde 92 yaşındaki nineye tecavüz ediliyorsa üstümüze taş yağmadığına sevinelim bence
-1,siktir git amk aylardır evdeyim annem yerinden korona getirdi gördüğünüze laf ediyorsunuz ülkenin iq seviyesi düşme sebepi gibiler çalışmadık sanıyosun neyin boşu
-1,artırım źırhlı mersedesi bozdurup yesinler açlık yoksullukla biraz imtihan sevap kazansınlar allah onlara güzel kapı açmış kıymetini bilip sevap kazansınlar korona ölürlerse hükmen şehit olabilirler
-1,kardeşim korona oldum gençler hafif atlatıyor 6 kişiyse maks 10000 allah korusun ölür saçma düşüncelere girmeyelim mantıklı düşünelim
-1,son derece bulaşıcı covid 19 eşşek gribine yakalananların sayısı geçen gün artmaktadır insanın hasta olduğunun farkında olmamasından türkiyedeki eşşekleşmiş insan sayısı bilinememektedir salgınsahteyasaklarkalksın
-1,saçmalıklara son verin sonra altında kalacaksınız maske mesafe hes aşı başka duyan salgın hastalık tamam anladıkbitsin artık salgınsahteyasaklarkalksın
-1,hayatta kural vardır tez anti tez sentez ailelerde kuraldan hareket düşman yaratırlar dünyaya sonra anti tezini karşısına koyarlar sonuç sentezlerini dayatirlar covit19 tez aşı anti tez= sonuç dünyayı durdurup dijital paraya geçiş mesela
-1,eski all-star geceleri heyecandan hafta yerimizde duramadığımız efsane zamanlar iggy-nate smaç yarışmaları kobe t-mac düelloları sürekli sakatlıktan oyuncuların oynamadıkları dinlenmek istedikleri maalesef covid yüzünden seyircisiz ortam
-1,corona önlemleri milletin canına kıymsına sebep olanlar olanlara sessiz kalarak aferin diyenler intiharlara ortaktırveballer paylaşılacak muhakkak yazıklar yıllardır içimizde virüsü dsö emriyle gündemde tutan alçaklara namussuz
-1,gerçek diyecek tek söz adalet elden giderse devlet elden gider yazıklar foxdkabtanözürdile karyenidengeliyor teskilat corona
-1,öğrencilerölmekistemiyor uludağ tıptaki yöneticiler doktor davranmıyor pandemi döneminde sayıda öğrenciyi odaya tıkıyor
-1,haftadır otistik kızımı okula götürüyorum bugün öğretmende korona çıktığı haberi geldi okul yarın yapacağımızı şaşırdık öğretmen ortak alanları kullanmış öğretmenleri aşılamadan açtınız okulları nasil salgin yöneti̇mi̇
1,[210307] musicares twitter hesabı üzerinden performans sergileyeceği 13 mart’taki music mission isimli sanal bağış konseri video paylaştı
-1,kıymetli büyüğümüz deva partisi gmyk üyesi covid19 nedeniyle hastaneye kaldırıldığını büyük üzüntüyle öğrenmiş bulunmaktayım acil şifalar diliyorum
-1,salgını ölenler eceli ölüyorkorona virüs yokhatta dünya düzyalandan solunum desteği oluyorinsanlar hasta tiyatro buallahdan korkmaz kuldan utanmaz laf
0,-inşallah yakınların korona -entübe -hasta olursan hastaneye gelme zaman -sizin yüzünüzden salgın bitmiyor -o insan yalan söylüyor vs vs
1,pandemi biterse ismail yk konserine gideceğim kendime not
1,hakikaten corona'dan sonra çevremdekile're gripten doktora giderlerdi şimdi aynı soruyu soruyorum gribin şimdi coronamı
-1,diyarbakır corona haritasında mavi amma velakin haftaya kıpkırmız olacakbugün çarşıda iğne atsan yere düşmezdi yarın miting
-1,öğrencilerölmekistemiyor umarım yarın corona olurum arkadaşlarbunu sınavlara girmek istemediğim 3-5 tane kişinin bunca insanları umursamadan çabaladıkları şeyin boşa gitmemesini istediğim istiyorumlt3
-1,insanlara geçiniyorsunuz sormadı pandemi aylardır işsiz genç müzisyen intihar aracılığıyla
1,kızlarr soruların dm kutusunda olanlarını bitirdim istek kutusu kaldı onuda bugün yapacaktım planlamadığım olunca covid testine gittim geldim eve randevularımı bitirip rahatlayıp gece devam edeceğim istek kutusunda kalanlara deste seçimiz yarına kaldı
0,başkan okay’dan mart dünya kadınlar günü mesajı aracılığıyla haber kahramanmaraş sonhaberajansi 8mart kadınlargünü dulkadiroğlu başkan coronavirus covid19
-1,son zamanlarda deprem korona mutasyon derken similasyonu artık geçemeyeceğimden emindim yüzden ders çalışmadım deli son güne sıkıştırdığım konulara stresle çalışıp sınava girdikten sonra ölürsem üzülürüm
-1,boğazim ağriyor korona i̇hti̇mali̇m sinava gi̇ri̇cem si̇z bi̇li̇rsi̇ni̇z ki̇mse umrumda deği̇l koronaysam si̇z kendi̇ni̇z açiyorsunuz okullari sinavimi gi̇di̇cem halde öğrencilerölmekistemiyor
-1,cunku korona cikmadan once tum insanlik olumsuzduanlasana kardesimtum olum sebepleri koronaya baglaniyor artikotopsi yokkalp krizini korona kaydediyorlaro insanyakinlarinin olum raporunu kavga zorla degistirdiklerini soyledihic denk gelmedin
-1,1- mesele sokaktaki karı kocaya sosyal mesafe cezası kesiliyor hani eczanede çalışan 3 çalışana sosyal mesafe cezası kesiliyor hani profesörler metre sosyal mesafe olacak aranızda derken aşı olduysanız sıkıntı demiyolar
1,otelde pandemi odalarını arayıp dertleşiyorum iyi guest olabilir
-1,dünyada korona pandemi varsa açık alanda maske takmıyorsa ülkemiz açık alanda alanda maske diretiyorsa yanlış vardırburada iyi niyet yoktur anladın mısorun ülke maske takmaz anlarım onlarca ülke
-1,agalarla yarın kimin korona olacağı hakkında iddiaya girmeye başlayacağız artık iptal edin erteleme hevesindeyseniz seneye erteleyin i̇llet bitsin di̇yi̇n önce öğrencilerölmekistemiyor
-1,norveç’teki ilk ayımın karantinada geçti i̇lk önce geldiğim 10 gün karantina sonra temaslı olduğum 10 gün karantina şimdi 10 gün bizzat kendim korona olduğum karantina hastalıktan yavaş yavaş gözüm açılırken özgürlüğümü istemeye başladım artık
-1,kocaeli kandıra cezaevinde hemen hemen gün makarna çıkıyor pandemi sürecinde bağışıklık önemli iken mahkumlar tehlikede genelaf gelmeli
-1,türkiye'de korona geçiren aptal koruyamadığı hastalığa yakalandı tembel kuşağı cahil halden anlamayan sizlersiniz gibilere denicek tek kelime yazıklar allah akıl fikir versin sizlere
-1,canlar şarkıyı sırf kötü pandemi döneminde neşe gelsin çıkardı olanlar grup düşünün samimiyeti ilklere imza atan dynamite grammys
-1,araştırıp sorgulayan kişiler aşı gerçeğini net görüyorlarallahtan gerçek tıp hekimleri gerçekleri söylüyorlar tabikide satılmış medya ekrana çıkarmıyorlar işlerine gelmiyoryoksa ilaç sektörü
0,covid-19 pandemisi çoğunlukla kadınların üstlendiği ücretsiz “görünmeyen” emeğin denli vazgeçilmez açık biçimde ortaya koydu kadın öğrenci velilerine sorduk
-1,türkiyenin haracını market a101ve kesiyor pandemi̇ zenginiçalican personal günlük eti̇ket değiştirmeye yetiştiremiyorlar kimsede bunlara dur diyemiyor
-1,sayın bakanım öğretmenlerimiz göreve başladı köy okullarındakiler bitmeden diğerlerdeki öğretmenlerimiz asi bekler haftanın günü derse girecekse aşı yapılmaları gerek zaman olacaklar belli
-1,ferrari'nin yeni hiper otomobili laferrari görüntülendi gazetekolik ibrahimzaraptutuklansın istanbulsozlesmesiyasatir samsun picemiyeti kadinasiddetehayır ibrahimzarap allahbelanıversin idamgelsin adaletistiyoruzadalet ibrahimzaraptutuklansin crypto coron
-1,öğrencilerölmekistemiyor sınava çalışmadım çalışasım kağıda adımı soy adımı yazıp vercem sınavdan 100 alsam alsam umrumda korona kol gezerken herkesijm evinde yaşlı insanlar mahallesinde söze gelince yaşlılar önceliğimiz aminakoduklarım
1,pandemi boyunca markanın farklı türde çekirdek kahvelerini deneyimledim fiyat pahalı fakat iyi çekirdekler açık petra'dan geldi
-1,corona normal grip türüdür yaşlı ağır hasta insanlar grip zaman ölümle sonuçlanma ihtimali artıyor ecel hastalığı deniyor 2018 yılında 650 000 kişi gripten ölmüş 2018 gündem salgın normal grip hastalığı salgınsahteyasaklarkalksın
-1,lütfen cevap verin bakan ziya selçuğun sağlık yaşama haklarımızı hiçe sayarak sınav yapması suç değilmidir öğrenciler covid allah esirgesin ölürse ödeyecek sinavlariptalolsun ziyaselcukistifa
-1,7 mart 2021 sağlık bakanlığı açıkladı 11187 covid-19 vaka sayısı 735 covid-19 hasta sayısı 65 kişi vefat 7785 kişi iyileşti zatüre oranı 36 toplam vaka 2780417 toplam kaybı 29030 koronavirüs evdekalsagliklikal
-1,yüze eğitime sarı renkle başladık 1 hafta sonrasında ankara turuncuya döndü hafta okuldayız okulların gün öğretmenlerin gün gittiği anlamına gelmiyor aşı öğretmen aşılama başlayalı 10 gün
-1,teşekkür ederim hepinize amcam süreçte dışarı çıktı eve kimseyi aldı geçen perşembe aşı cumartesi testi negatif çıktı ciğerlerde leke görüldü hastaneye yatış dün pozitif çıktı gece yoğun bakıma alındı bugün kaybettik test aşı önüne geçemiyor
-1,güldüm sizler gülün sağlam ai̇le yapimiz derken ağam bizle dalga geçiyor sağlam aile bıraktınız haberimiz sağlam kalan varsa size bulaşmadığı sağlamdır
-1,yüreğinize sağlık acımasız kapitalizme çevremizdeki küçük esnafı kollamamızalış verişlerimizi çevre esnafa yaymamız gerekirekonominin bozukluğu pandemi darbe vurdu esnafagün birlik günü
-1,zavallı durum madem mobese kameraları kayıt altında onca kadını hayvanı izleyip korumamışlar 1 yıldır görmediğimiz rezaleti görüyoruz pandemi başladığından kalmadı
-1,bugün sokakta gezdim tablo korkunç insanlar gevşemeyi pandemi bitti anlamışlar maske mesafe ikisinin esamesi okunmuyor restaurantta maskesiz girilmiyor içeride yemek yendiği doğal giren maskeyi çıkarıyor
1,pandemi süreci birlikte yeni normal yüze eğitimi online eğitimi hibrit eğitimi gayet başarılı sürdüren süreci iyi yöneten özel okullar okulları tespit etmek örneklem oluşturmak kurumlardan faydalanmak gerekiyor
-1,amk dakikada akpli dalyarak yattın dönem boyunca burda sınav zamanı sikik sikik konuşuyorsunuz kafanı sikim korona bahanenizi sikim
0,sn gülnaz şırınga hanım takip ettim geri dönüş yaparsınız artık yapmazsanız aşı gelmeyeceğim bilginize
0,haydi takip edin takip edeyim arkadaşlar egyptianstudentslivesmatter erteleme kararnormalolsun picemiyeti englishhome kararnormalolsun liselereiptal pazartesi whosaveturkishstudents koufodinas_hunger_strike coronavirus link sosyalbilgileresahipçıkalım
-1,öğrencilerölmekistemiyor dayı ölmek istiyorum korona geçtiği zaman diyer öğrencilere bulastiracam bi̇z samsun'da yaşıyoruz topyokun korona sınavlarıda götumuze solaris artik
-1,uzun yıllar süren depresyonumdan pandemi döneminde çıkıyorum seferde pandemiden çıkamıyorum pandemi bitince tekrar depresyona gireceğim pandemiyi depresyonum yarattı depresyon yoktu pandemi gecikti pandemi depresyon biterse olacak
1,pandemi sonrası planlar yatırımlar umarım istediğiniz cuma iyigeceler
-1,çocuklarda ölüm milyonda 1 grip rsv sene covidden fazla çocuk öldürüyor çocuklar korkacak covid’den
0,teksas tam açılıyor maske zorunluluğu kalkıyor üzgün tabi teksas'ta lobi faaliyetleri etkisiz olunca yüzler 10350 km doğuya çevrilmiş
-1,pandemi ilan edildiğinden beridir kere normalleşme sürecine girildi normalleşme cezaevlerine uğramadı 1 senedir açık görüş kapalı görüşler haftada başladı kişi girebiliyor virüs cezaevinlerinde yayılıyor
1,önce düğün öncesi düğün düğün somrası resim video hepsini paylaştımşimdi arkadaşlarım düşünsün sabaha uyumayıp izlesinler yalnız baya baya abarttım pandemi geliniyim laaağnnn okadard
-1,bakan ‘nın çelişkileri saymakla bitmez aşı fiyatı ticari sırdır açıklayarak aşı tedariğini riske atıyorsunuz ucuz aşıyı alıyoruz aşı fiyatı sırsa kimseye söylenmiyorsa bilebiliyorsunuz ucuzunu aldığımızı
-1,kadınlar günü arifesinde gündem hikmetse artan kadın cinayetleri 90'larda çocukluğumdan bilirim kuduz köpek modası haber bültenlerinde binlerce yıllık köpek-kuduz-ısırık vakası nedense hafta gündemde bilir aşı üreticisi+
-1,kanada mi̇lli̇ eği̇ti̇m bakani drake “türkiye’de sınavlar iptal edilmeli covid-19 bulaş riski fazla” dedi öğrencilerölmekistemiyor
-1,güruh okuyun siyasete bağlamayıncepheleşmeyin birlikte yaşamayı öğrenin covid olunca veri gizleniyor konuda dış kaynak göstermek mallıktır dünyaya ininiz
-1,eti burçak bisküvi icinden çıkan kıl çalışma ortaminizi hijyenik gözler önünde covid_19 covid19 tse a101 bim migros eti
-1,hocam aşı kaynaklı tansiyon sorunu çoğu insanda tansiyon hastası aşı sonrası tansiyon ilaci kullanmak zorunda kalanlar beyin kanaması burun kanaması durumları duyuyoruz atfiyal fibrilasyon kan sulandırıcı kullanan annem+
-1,bakanın öğretmenler aşı randevusu alsınlar sözü üzerine devamlı girip bakıyoruz öncelikli grupta olmadığımız bildiriliyor haftanın 4 günü okuldayız sınıfta virüs kapmayalım camları devamlı açıyoruz ee havalar soğuk zatürre olacaz covid
-1,komşumuz elinde korona ilaçları kullanılacağını sormak geldi güzelce oturdu ilaçları uzattı bahtima aglayasim şuan
-1,merhaba adm mustafa susam garsonluk yapıyordum pandemi nedeni işsiz kaldım faturalar duruyor kirayı veremedim allah rızası yardım bekliyorum kötü durumdayım lütfen dalga geçmeyin sn çare 0006 2000 3020 0006 629917 garanti bankası lütfn gerçekten zor durum
1,pandemi sonrası yakın arkadaş çevreme ziyafet vereceğim burda kanıt niteliğinde dursun
1,vatandaş ikinci aşıyı vurulunca toplumsal bağışıklığı sağlamış olacağız hastalığı geçiren insanları düşününce projeksiyonlarınız vaka sayısına aşı sayısına işaret teşekkürler
-1,sayın covid-19 olduğunuzu duyduğumdan derin üzüntüler içerisindeyim büyük geçmiş inşallah tez zamanda aramıza dönmeniz dileğiyle
-1,meselenin olmadigini anlamamakta israrcisiniz annem babamda ogretmen ilkokullara egitim acildigi icin aninda korona oldular cok zor zamanlar gecirdim tage tweet atan insanlarin cogu keyfi atiyo tweetleri
1,bilmiyorum size eskiden haber izlerken tepki vermez etkilenmezdim son zamanlarda izlesem derinden etkileniyorum sanırım pandemi insan olmayı ögretti
-1,zamaninda bi̇ze korona bulaşmasin di̇ye 3 saat i̇zi̇n veren i̇nsanlar şi̇mdi̇ bi̇zi̇m korona olmamizi i̇sti̇yorlar duyunsesimizi öğrencilerölmekistemiyor
-1,ağustosta boyatmıştım son saçımı sonra covid korkusuyla kuaföre uğramadım şimdi halinden eser kalmadı ayaklanır ayaklanmaz ateş kızılı yapmaya gidiyorum fav yürü serradır sgjkjsgkk
-1,dagi git korona sorun yokama yoğun bakım ihtiyacı almasınlar etrafında varsa ailen vb kişileride ilaç takviyesine tabi tutmasınlar
