Tip,Paylaşım
Pozitif,stanley parable bir oyun var abi sevebilirsin cümlesini unutamadım bir eskiden ha evet bir skyrim diyorlar kıl cevaplar veriyordum bunlara artık atıp geçiyom yaşlılık geldi bana 
Pozitif,seni kitap okuyan insanlarla tanıştıracağım hayat ancak böyle insanlarla bir araya geliyorsan yaşanmaya değer olur 
Pozitif,yaptığım başarılı aktivite uyumak 
Negatif,demiş iyilerle kötüler belli değil it itle gezer yiğit yiğitle 
Negatif,bir faydası olmayan zararı olan saray soytarısı nagehan fikrini beyan ediyor 
Negatif,ulan yanan alevi yakan alevi bugün temel aynı çanaktan yal yiyorsun olacak 
Negatif,defol git lan ölüye saygın yok anladık bari allah tan korkun olsun yok bli 
Pozitif,den yana formamızı terleten sadece başarılarıyla değil örnek sporcu kişiliği büyük beğeni kazanan yuto nagatomo kulübümüze verdiği emekler teşekkür eder bundan sonraki kariyerinde başarılar dileriz 
Negatif,kanka ben netflix sayesinde ingilizce ogreniyorum netflix yerine bize amcamizla sikismeyi ogreten turk dizileri yasaklansin 
Negatif,öldürür 
Pozitif,zaman para vermeyeceksin kardeşim he demek para verdin izlemek istiyosun zaman şikayet etmeyeceksin eşcinsellik insanların tercihi buna kimse karışamaz saygı duymak zorundasın cinslik içeren film dizilerde zaten uyarıları bulunuyor 
Negatif,gay düsmani mustafa 
Pozitif,zlemek istemeyen abone olmaz açık sahneyse elinde kumanda sardırabiliyorsun eşcinsellikse tarz izleme birsürü film dizi var üye olma olur biter üye olanada kimse karışamaz neticede özel bir platform kadar güzel dizi projeleri insanlar izleyemesin 
Negatif,izleme zaman dalyrak 
Negatif,türk televizyon dizileri tecavüz kadına şiddet silahlı çatışma evlilik dışı ilişki ensest dön bi kendi kıçına bak insanların para verip izlediği şeylere bok atmadan önce 
Negatif,zleme be amına kodumun koyunu seni 
Negatif,fiyatı fazla geldi gerizekalı 
Negatif,ezik orospu evladi izleyen ister ucretli bir uygulama 
Negatif,zleme ozaman yarram bi karı görsen düz yokuşa tırmanırsın burda cinslikden bahsediyon sie 
Negatif,zehirin aktığı yer sizin beyniniz ağzınız farkında değilsiniz kadar cahilsiniz cehaletinizin farkına bile varamıyorsunuz ilkel insanlarsınız 
Negatif,hayatında para vermeden seks yapmamış çevresi eğitimsiz cahil tipsiz insanlarla dolu cinselliği kedi köğeğin yaptığı seksten hlice olan çomarlar gelmiş cinsellik zehirdir diyor yapamadığınızı kadar bli etmeyin bari ezikler yazık yav bunlara 
Negatif,aq ayık gezmezler bulduğunu skerler abazalıktan cd eşcinsellerle olurlar sonra netflix yasaklanabilirmiş sktrn gidin yavşkar 
Negatif,sus lan yavşak izleme götüm zaten fakirlerin netfilixi mi olucak amk yüzyıldan kalma kafayla yaşıyorsunuz 
Negatif,satın almayın amk 
Pozitif,bir dur dinle ademoğlu geldin gidiyorsun 
Pozitif,hepsinin ötesinde baskıcı dönemde alınan kararların baskıcı iktidara hizmet edeceğini düşünüyorum yasa özgür bir ortamda getirilmeli 
Negatif,motorsikletin yanından geçen motorcu oluyor amk gün sonra kaza yapıyor arabalara suç atıyor instagramda bir tane düzgün motor kullanan video yok 
Pozitif,benim bir korkum yok konuyu çarpıtmayada gerek yok olursa olsun çocuğa kadına uzanan diller ler toplumdan temizlensin 
Pozitif,başkalarına yapılan hukuk dışı ahlak dışı olaylara sessiz kalıp görmezden geldiniz size yapılınca ortalığı ayağa kaldırdınız 
Pozitif,doğduğum günden tam yıl sonra yine aynı tarihte mezun oldum bundan sonra kutsal sayım dur 
Pozitif,komiksin burun deliklerini kapat gülerken corona var 
Pozitif,kahramanlar pelerin takmaz 
Pozitif,kıbrıs şehitleri dominik caddesi ni yayalar birleştirdik yaya geçidi üzerine zmir in tarihi köklerinden gelen figüratif desenler işlendi pasaport un dalgalı kaldırımı bergama kilim halılarının eli belinde motifleri talatpaşa meydanına yakıştı 
Pozitif,tugay turan hocamız güzel şekilde emek vererek akademide yardımcı araçları biraraya getirdiği bir bilgisel hazırlamış teşekkür ederim lerine zihnine sağlık tugay hocam 
Pozitif,sınavda elde edeceğiniz puan dilimine göre diploma notunuzun yaklaşık kaç olması gerekir yerleştirme sırasında geriye düşme riskini ortadan kaldırasınız 
Pozitif,kişisel verileri koruma kurulu sosyal medya uygulaması tiktok hakkında veri güvenliği açığı diaları üzerine inceleme başlattı 
Pozitif,umblikal kord göbek bağı iki atardamar bir toplardamardan oluşuyor rahim içinde bebeğin ihtiyaçları kordonla sağlanıyor 
Pozitif,kütüphanemizdeki kitapların tam ekran fotoğrafını yorum olarak atan kişiye çekilişle görseldeki seti hediye ediyoruz 
Pozitif,ülkenin tarafında topraklar işleniyor sonbahara fidan dikimine hazırlık yapılıyor erozyon nedeniyle tek bir gram toprağımız kaybolmasın orman teşkilatı çalışıyor yıl sonra dağa yazılan ogm yazısını görürseniz ağaçları kesip ogm yazmışlar demeyin sakın 
Pozitif,sızıntıyla ortaya çıkan görsellerin grafik detayları kötüydü oyunculardan gelen tepkileri dinleyen firma oyun üzerine fazla çalışacaklarını iyi görslikle döneceklerinin altını çizdi 
Pozitif,sıcak yaz günlerinde vatandaşlarımızı sokak hayvanları kapılarının önlerine bir kap su koymaya davet ediyoruz 
Pozitif,şartlar uygun ben değilim 
Pozitif,tam pencere önünde televizyon karşısında yarım saat uyuyakalmalık hava var an 
Pozitif,şuan aklımıza gelen ilk şarkıyı yazalım bakalım neler çıkacak 
Negatif,siksokçular anlık 
Pozitif,hayatımda gördüğüm güzel haberlerdne birisi azından artık instagramda cemre solmaz azra gül yaren enes batur vs görmeyeceğim 
Pozitif,hepsini kapatın bütün toplumun ahlakını bozdular 
Negatif,akp li oyuncunun ikiyüzlülüğü 
Pozitif,teşekkürler geri bildirim bekliyoruz halde ahhütü takip edeceğim ara ara size hatırlatacağım 
Pozitif,hastaneye yetişemeyen kadının otoparkta ebe yardımıyla doğum yaptığı anlar 
Pozitif,birisi tarafından delice sevilmek size güç verir birisini delice sevmek cesaret 
Negatif,koyun dedikleri tarafından senedir yönetilen koyun kadar aklı olmayan bir kesim var ülkede 
Pozitif,büyük cesaret helal olsun 
Pozitif,patlamanın yaşandığı bölgeye yakın yerleşim yerlerindeki insanların evlerine girip kapı pencerelerini kapa 
Pozitif,hayatta kalabilmek para uğruna insanlar nerelerde canlarını hic sayarak çalışıyor lah yardımcıları olsun 
Pozitif,allahım sen yaralılara ailelerine yardım et 
Pozitif,geçmiş olsun umarım kimsenin canı yanmamiştir 
Pozitif,havai fişek fabrikası patlamış rabbim içerideki çalışanların canını korusun inşlah 
Pozitif,patlama sesi korkunçtu sakarya sesi duydu sarsıntıyı hissti atom bombası bir etki yarattı 
Pozitif,can kaybı olmaması tek temennim 
Pozitif,sakarya nın hendek ilçesinde havai fişek fabrikasının patlamasında can kaybının olmamasını temenni ediyorum 
Pozitif,sakarya havai fişek fabrikasında patlama çeride kişi var 
Pozitif,umuyoruz tek bir canımızın dahi burnu kanamaz 
Negatif,sorumlu herkesin canı cehnneme 
Negatif,sen olarak dünyaya gelmediğimiz şükrettik bugün 
Negatif,sey degil mi herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan kat ahlaksiz hareketler yapan kişi 
Negatif,neyse gidip yuvasını yıktığım adamla öpüşeyim 
Negatif,sey degil mi herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan kat ahlaksiz hareketler yapan insan 
Negatif,herkes ece erken laf söylüyor ahlak bekçiliği yapan ahlaksız sizin yaptığınız an siktir etsenize böyle insanları 
Negatif,adam boşanır boşanmaz tekne turlarında fink atan yalandan ayrılmış numarası yapan utanmazlar 
Negatif,tek kelime rezilsin 
Negatif,ekrandan herkese ahlak bekçiliği yapan ahlaksız 
Pozitif,kime isterse gitsin istiyorsa yapsın konuşmaya değecek başka bir şeyiniz yok 
Negatif,ece erken sevgilisi su altında saman yürütmüş bea 
Pozitif,yorumları yazanlara merak ettiğim soruyorum ahlaksız olan bir tek başkasının suçu yok 
Negatif,kadın ağlayarak malı götürenlere güzel örnek 
Negatif,annen baban seni büyütüyor yedirip içiriyor kadar emekten sonra sen ahlaksız oluyorsun tivit kadar 
Pozitif,kadar çalişirsak kadar iyi 
Negatif,ahlak bekçileri size 
Pozitif,stediği yaşar hayatını olumlu olumsuz sonuçları kendisi yaşayacak 
Negatif,insan kadar çirkinleşebilirin örneği buyrun 
Negatif,ee boşuna dememişler ahlak bekçiliği yapıyorsa ahlaksız odur 
Negatif,adamda tip desen yok fizik desen yok adamın neyini sevdin 
Negatif,türkiye nin gelmiş geçmiş büyük eskortusun 
Negatif,utanmazlar 
Negatif,milletin dedikodusunu yaparken paranın dibine vurmasını biliyordunuz mletin ahlak bekçiliğini yapmasını biliyosunuz 
Negatif,insan kadar çirkinleşebilir 
Negatif,ece erken önyargılı davranıp onu sevmiyorsunuz oysa tanısanız nefret edersiniz 
Negatif,namustan söz ediyorsa namussuzu dur 
Negatif,yuva yıkıp bir aileyi dağıtan kadın 
Negatif,cahil alt kültür adam 
Negatif,ünlü kadınlar yuva yıkar hayretbişey arkadaş normal bir ünlü 
Negatif,aq midesizsiniz 
Pozitif,vazgeçtim inan kendimden çoktan 
Pozitif,gömülen gömülene unutulan unutulana kayıplara karışan karışana 
Pozitif,yaş kaç olursa olsun sözün sesin kalemin yüreğime dokunur 
Pozitif,zamanında severek dinledim 
Pozitif,sago benim dilsiz kalbime dil dikenli yollarımdaki çicek anlatmaya çalışmadıklarıma kelimelersin sagopakajmer brnbzkt bernik 
Pozitif,uçur beni rüzg toz taneleri burdan uzağa doğru 
Pozitif,benim gözlerimden bak dünyaya 
Pozitif,bugünüm yarınım bi yanım karambolde 
Pozitif,beni mutlu edecek 
Pozitif,mektupu al derdimi gör 
Pozitif,halini sor er geç yollar bir 
Pozitif,ah zaman ahir 
Pozitif,şuraya girince kendimi tutamayıp tweetleri beğeniyorum 
Pozitif,oysa istemez gün ilkbahar günü 
Pozitif,şiirler yazmak izleyip kırmızı gülü 
Pozitif,galiba bütün olanlara dayanamam hazırımm 
Pozitif,sen giderken adımlarını sayarım heyhat 
Pozitif,uzuyor uzadıkça bitmiyor bitse sevimsiz akşamlar 
Pozitif,huzur özür dilemeli bana uğramadığı gün 
Pozitif,uçur beni rüzgar 
Negatif,sana küfür ederim 
Pozitif,bizi saten sonra mutlu edecek tek konseridir 
Pozitif,kah çıkarım gök yüzüne içerim saki yi kah inerim yer yüzüne çekerim zikrimi 
Pozitif,fadeler sözlerden seslidir sago sessizlerin sesidir 
Pozitif,güvendiğim dağlara kar yağıyor 
Pozitif,mutlu oldum 
Pozitif,sal yaralı balıkları gitsin misina artık gergin 
Pozitif,ster istemez şeyim sende rehin 
Pozitif,yanlış bir kar 
Pozitif,seviyorum 
Negatif,utanmadan konuşuyor şerefsiz 
Pozitif,satılık herif 
Pozitif,çim hasret yeri küheylan kaldı bi kemik bir deri 
Negatif,katil kimsesiz gariban bir canın canı alan zalim 
Negatif,yazıklar olsun olsun senin insana 
Negatif,allah belanı versin umarım şekilde can verirsin 
Negatif,kaltak tutuklansın 
Negatif,kendinden utan şerefsiz 
Negatif,insan olamamış bir mahluk 
Negatif,allah belanızı versin 
Negatif,sözde akademisyenin ahlaksız vicddansız 
Negatif,arabanın arkasına bağlayıp sürükleyeceksin sonra kemiklerini kırıp yatalak edeceksin 
Negatif,hatta insan bile değil 
Negatif,sen vahşi bi yaratıksın 
Negatif,pis suratsız 
Negatif,sen okumuş barbarsın 
Negatif,çoluğun çocuğun ezilsin senin 
Negatif,sen bir katilsin şerefsiz haysiyetsizsin 
Negatif,haysiyetsiz iğrenç mahluk 
Negatif,vicdansız allah senin belanı versin 
Negatif,allah ın belası insan müsvdesi 
Negatif,sen insan olamazsın 
Negatif,sosyal medyadan çevresinden gelecek türlü linci hakediyor 
Negatif,hayvan katili 
Negatif,allah belanı versin vicdansız 
Negatif,bunu yazan şerefsizler kaçacak 
Pozitif,bugün birkez gurur duyuyorum fenerbahçe li oldugum 
Negatif,bela musibetsin 
Negatif,türk futbolunun foseptik çukurlarının şikeden dolup patladığı gün 
Pozitif,yıkmaya gücünüz yıkıldığımızı görmeye ömrünüz yetmez 
Pozitif,onurla gururla şampiyon fenerbahçe 
Negatif,sen fetö nün büyük destekcisisin 
Pozitif,zaman olduğu dik durdu hainlerin onu hedef almalarına rağmen yıkılmadı 
Pozitif,aşkınla sevginle bizler delirdik uğrun ölmeye yeminler ettik cefalar çektik canlar verdik 
Negatif,ftiracı namussuz 
Pozitif,mutlu size 
Negatif,sana deniyor hamsi hırsızlık yapmadan ziyaret bedava 
Pozitif,unutmadık unutturmayacağız 
Pozitif,yıkmaya gücünüz yetmez 
Negatif,sen yüzle bir başkasını eleştiriyorsun 
Negatif,sen katilsin namussuz 
Pozitif,rabb im sağlık shat uzun ömürler versin inşallah 
Pozitif,cumamiz mübarek olsun 
Negatif,sizin yalanlarınız sizin montajlarını bitmez 
Pozitif,yi varsın başkanım 
Pozitif,nanin görüntüleri unutmuşum 
Pozitif,olay 
Pozitif,nsan gün yaşanan olayları görüp bildikçe canlının acısını acısı ettikçe mutlu bir hayat arzu etsin 
Negatif,söylesene şunları be 
Negatif,kendi kazdığı kuyuya kendi düşen enayiler 
Negatif,oğlu eşi oldugu belli olmayan erdal çomarı 
Negatif,erdalcım boku kürekle yedin 
Negatif,fena sıçtın 
Pozitif,kadın kendini ispatlamış mükemmel bir insan zaten sizin derdiniz başka 
Negatif,ayağına sıkacağı na kafasına sık 
Pozitif,kadına gün biraz hayran oluyorum 
Negatif,halkın diktatörü 
Negatif,ayağına sıkan bi salakta sensin 
Pozitif,sen müge anlıyla uğraşabilirmisin müge anlı la 
Pozitif,telefonun incelenmeyeceğini mi sanıyorsun 
Pozitif,bence sonuna geldin 
Negatif,artık şaban dayın kurtaramayacak seni dallama 
Pozitif,allah fetsin seni 
Negatif,üremesi yasaklanmalı hastalıklı genleri dünyaya saçmasının önüne geçilmeli 
Negatif,sözde müslüman haysiyetsiz 
Pozitif,ayşe asgari ücretle geçen yıl kg et alıyorduk 
Pozitif,nanmıyor musunuz 
Pozitif,hesap ortada aşağıda 
Pozitif,hadi verelim mehteri 
Pozitif,otomobil fiyatları uçmuş 
Pozitif,konut fiyatları tavan yapmış 
Pozitif,bilet fiyatları katlanmış 
Pozitif,ğneden ipliğe zamlanmış 
Negatif,facebook profili şerefsizin 
Negatif,hayasızlar telefon numarasını bile vermiş 
Negatif,cahil bir kadınsın 
Negatif,çomar piç seni 
Negatif,yazıklar olsun aşşağılık yaratık 
Negatif,acılar içinde gebermeni dilerim 
Negatif,ölmek yalvar iblisin oğlu 
Negatif,kafana sıkıcam senin 
Negatif,öldürücem seni 
Negatif,tecavüz edilmeyi hakediyosun 
Pozitif,şirketimizde yeni bir hizmet vermeye başlayacaz hizmet adı gtü bilmüh ödev projeleri yapılır 
Pozitif,göktürk göre domatesler parka gidebilir tavuklar oruç tutabilir 
Pozitif,arası enflasyon seviyesi önemli bir eşik mücadele edemezsek tıpkı önce gördüğümüz hızla yükselir atalet inertia 
Pozitif,ay önce suriyeli mültecileri göndermekle tehdit ettiğimiz avrupa bize turist göndermesi sınırları açması bakan gönderiyoruz şte öngörü işte vizyon 
Pozitif,dostlar bin oluşumuza özel resimdeki gördüğünüz pikap toplam takipçimize hediye edeceğiz yapmanız gereken tek tiviti beğenip yoruma arkadaşınızı etiketlemek herkese bol şans 
Negatif,sen ibne misin 
Pozitif,flört ettiklerini bildiğim iki arkadaşımdan erkek olan konuşuyormuş sohbeti yarıda bırakıyormuş falan kız rica ti bir yoklar mısın sordum bende çocuk diyor kızın kafa zehir beni öyle sanıyo muhabbet ilerlerse durumu fark eder 
Negatif,instagram açtığım karşıma bikinili bir kadın çıktı utanmazlar 
Pozitif,önce google gaz fren sağ sol araması yaptım sağınızı solunuzu bilmemek acı 
Negatif,babanınn düşmanına sıçayım 
Pozitif,çevre doğa hayvan koruma şube müdürlüğü kuruldu 
Pozitif,afrikada bir şehir adı aydın 
Pozitif,adamın yaptığı büyük bir olay gerçekten ülke yine büyük bir utanç 
Negatif,toplumu geriyosunuz şerefsizler bataklar 
Pozitif,evde herkes tatil bavulu yapıyor ben ödev yapıyorum 
Pozitif,fenerbahçe başkanı ali koç un mahkemeye verdiği bey nın final kısmı 
Pozitif,barcelona mutsuz olan lionel messi yeni sözleşme görüşmelerini durdurdu 
Pozitif,ozan güven in ifadesini okudum feridun abi yi ararken mantıklı şeyler söylemişti 
Pozitif,aşırı iyi 
Negatif,günün değil asrın oçu 
Negatif,orospu evladı seni 
Negatif,şerefsiz orospu çocuğu 
Negatif,kadar beyinsiz bir insansın sen 
Negatif,örgütlü şerefsizliktir 
Negatif,olamaz orospu çocuğu 
Negatif,orospuçocuğu ananı sikeyim vatan haini sülalenisikeyim vatanhaini alman köpeği sizin müslümanlığınız küfürü utanmadan ediyorsunuz allah diyorsunuz lahtan korkmuyorsunuz sizlerle hesaplaşmak cehenneme gitmek istiyorum sizi ancak orada bulurum 
Negatif,orospu çocuğu senin beni üzmeye hakkın var 
Negatif,nsan değilsin orospu çocuğu 
Negatif,gün geçmiyor memelektte yeni bir orospu çocuğu görmeyelim 
Negatif,havaş senin tekrar amk 
Negatif,günaydın remini senin amk 
Negatif,kahpe zehra kusura bakma hızımı alamıyorum senin ben amk 
Negatif,kaşar ağır küfürleri hak ediyor 
Negatif,yavşak melikşah sende sattın bizi senin ben amk 
Negatif,senin kafanı sikeyim 
Negatif,senin ben amk 
Negatif,amk un denyosu bir şeyi içi boş kafana sok sus 
Negatif,amk dengesizi burda meydan okumaya çıktı senin olmayan beynini sikeyim 
Negatif,senin ben tipini sikeyim amk balonu 
Negatif,senin beynin yok amk malı beynin 
Negatif,saat çalış bakırköy sahilde sabahla amk senin 
Negatif,hasiktir lan dalyarrak 
Negatif,senin başkaldırına sokayım 
Negatif,çirkin bi tipin var senin 
Negatif,babama senin kızı bizim oğlana alalım diyen emmi senin amk 
Negatif,hay senin olmayan beynine köpek işesin amk 
Negatif,amk sercanı keline sıçayım senin 
Negatif,kusura bakma senin ben amk artik yeter 
Negatif,bunları görüyorsan senin amk 
Negatif,senin aklı sikiyim ben 
Negatif,yaşamaya değmezsin git öldür kendini cidden 
Negatif,senin ağzına sıçim 
Negatif,senin ben amk 
Negatif,mabel matiz senin amk 
Negatif,yalancı sahtekar dallama 
Negatif,çomar orospu evlatları yine kudurmuş 
Negatif,sevmeyen siktirsin gitsin 
Negatif,çomar orospu evlatları zaman tükenecek ülkede 
Negatif,çomar piç 
Negatif,senin aklın yok fikrin var çomar 
Negatif,zoruna gitti çomar 
Negatif,amk cocugu boyle salak terimler kullaniyo 
Pozitif,fakiriz salak degiliz 
Pozitif,bende salak gözümü falan kaçırıyorum malmışım be 
Pozitif,muazzam değil mi seni salak yerine koyuyorlar sen şeyin farkındasın 
Pozitif,gençler yaşlıların aptal olduğunu düşünür yaşlılar gençlerin aptal olduğunu bilir 
Pozitif,birimiz aptal yada saf değiliz sadece susuyor görmezden geliyoruz 
Negatif,hayatımda gördüğüm aptal kişi 
Negatif,aptal evladı 
Negatif,tanıştırayım adi şerefsiz namussuz 
Pozitif,alçakça yapılan ahlaksız şerefsiz namussuz paylaşımları lanetliyorum 
Negatif,bunlar şerefsiz haysiyetsiz namussuz 
Negatif,onun bunun çocuklarısınız 
Negatif,sizi gidi yunan kerhanesi çocukları 
Negatif,şerefsiz namussuz adama iyi bakın 
Negatif,gerçeğin savunucusuyuz gizlenmek bir derdimiz esasında yok namussuz haysiyetsiz şerefsiz bir güruhla karşı karşıya iken 
Negatif,demek ağlatmak suretiyle cima etsek neler çıkacak ortaya vay amk 
Negatif,exatlon aq 
Pozitif,exatlon şuan çekiliyor olsaydı acun takımları eşitlemek beyaz takıma berkanı transfer ederdi sonra siyahlar oyun kazanamazdı 
Pozitif,old youtuber tayfayı olduklarını bilmediği çöp kategorisine koyanlar yormayın 
Pozitif,tanıdıklarım bir elin parmağını geçmez olaya bak 
Pozitif,doğanın dilaranın bacaklarından kıl var demesi cnrkxkemck sonrasında kısa bi bakışma 
Pozitif,elanur yürüme koş koş 
Negatif,hiçbirini tanımıyorum bazıları mal 
Pozitif,acun yaptığın programa dünyanın zor yarışması diyorsun 
Pozitif,bi karar ver artık kanka deli olacaksın yakında 
Pozitif,exatlon parkuru survivor parkurlarından güzel 
Pozitif,yakışıklı oldugunuz kadar vay anasını avradanısınızda furkan bey 
Negatif,gizem hortlak mısın yerden çıkıyon mk 
Pozitif,gözümüzü gönlümüzü açtın allah razı olsun 
Pozitif,uzun zamandır bekliyordum 
Pozitif,siyah takımın kazanmasını böyle izliyorum 
Pozitif,zor durumdayım kiramı ödeyemedim evim kötü durumda 
Pozitif,exatlon daki cezalar kötü lan 
Pozitif,orkun kusura bakma bok sunmuşsun 
Pozitif,orkun ışıtmak isimleri sosyal medyadan iyi tanıyorsunuz 
Negatif,kız öldü amk afafsg 
Pozitif,orkun şuan yanıyorsun diyor 
Negatif,exatlon futkan okum cenabet mi gittin oralara bi insanın cezada başına bi mi gelir tam bir ergen ibne 
Pozitif,aynı kişi mi bunlar 
Pozitif,izlemedim izlemek bir niyetimde yok sene survivor bana yetti exatlon hic cekemem 
Negatif,gözde inşallah diskalifiye olursun 
Pozitif,yağmur baya iyi lan hayran kaldım kadına 
Pozitif,gözde nın hırsına aşık oldum 
Pozitif,survivor kadar kurgu algıdan gına gelmişken exatlon izlemek 
Pozitif,elanin kiminle hazırlandığı açıklanmış 
Pozitif,öykü berkan bir instagram fenomeni yarışıyormuş önce kızın ismini bile duymamıştım 
Pozitif,buna elanur demişsiniz bildiğimiz survivor gizem 
Pozitif,tarafım belli miafitz 
Pozitif,üzümlü kekim 
Negatif,exatlon cringe bı program twitter gördüm direkt anladım izleyenler yaşınız kaç merak tim boş insanlarsınız 
Pozitif,ka tanımadığımız fenomen varsa toplamışsınız bitek hayrettini tanıyorum amk nen evdemi exatlon 
Pozitif,ulan walter neler getirebilirsin merakla izliyorum seni 
Pozitif,dizi filmlerdeki kadın şiddetine tacizlerine rtük ün bir el atması lazım 
Pozitif,kadına şiddete hayır 
Pozitif,hayata karşı doğan bakıyorum nadir barış oluyorum 
Pozitif,doğruları konuşalım 
Pozitif,türkiyenin tek tamamen türkçe koronavirüs canlı yayınına aşağıdaki linkten ulaşabilirsiniz 
Negatif,kızların gün bakım yapmamasıyla çöküp çirkin olmaları 
Pozitif,bunlar aynı kişi mi aq 
Negatif,kaç yıldır instagram kullanıyorum aq 
Pozitif,gündeme geri dönelim exatlon tarafınızı görelim bakalım 
Pozitif,harikasın mükemmelsin efsanesin 
Pozitif,netflix fakiriyiz anlatsanıza nasil yeni yarışma 
Pozitif,bunlar aynı kişi olabilir arkadaşlar 
Pozitif,dilara mükemmeldi aksini dia eden kördür kendini parkur geliştirdi yargı dağıttı aferin kız sana 
Negatif,tamamıyla fuhuş 
Pozitif,exatlon başarılı buldum özellikle netflix te olması süper olmuş 
Pozitif,tatlısın canm 
Pozitif,sunun dikkat cekme cabasini gozumun onunden ceksin 
Pozitif,survivor parkurundan sonra exatlon parkuru gözümüzü gönlümüzü açtı 
Pozitif,koşarmısın gelip arkadan ittirelim mi 
Negatif,gayette çoğu kişiyi tanıyoruz mağarada yaşıyosunuz amk twit altına anan kardeşim 
Pozitif,fazla çökmüş burada 
Pozitif,hadi bismillah ben basliyom 
Pozitif,direkt miafitz yapsaydınız smini tutardı program 
Pozitif,kusursuz 
Pozitif,ben izleyemiyorum benim netflix yok 
Pozitif,ikisi yarışsa oyunu başkası kazanır 
Pozitif,günde saati instagramda geçirip yarışmadakileri tanımam 
Pozitif,türkiye elraen delimine yi izlemek vardı 
Pozitif,exatlonun güçlüsü benim 
Pozitif,ben aşırı eğleniyorum şuan 
Negatif,bırakın artık boş şeyleri konuşmayı acun yeteri kadar zengin etmediniz mi exatlon önemli 
Pozitif,kızların hiçbirini tanımıyorum dkfjdkfkdkfkkdkf 
Pozitif,erkeklerden urası hayrettini doğanı tanıyorum sadece 
Pozitif,finalde acun ilıcalı yı unutmayıp yarı siyah tişört giyen koca yürekli orkun 
Pozitif,yarışmaya gidecek olursam ilerde tek isteğim elanur öyküden biraz hızlı olmak elanur aşko atışların mükemmel bitiricilik yok 
Negatif,sırf şerefsiz evlatları var sosyal medyanın kökten kapatılması taraftarıyım 
Pozitif,arkadaşlar farkında mısınız tek amacımız barışın şampiyon olması herkes onun açtı sayfalarını 
Pozitif,panoromalarda iyilerden bahsedilirken sürekli cemal can dan bahsedilmesi tırnaklarıyla kazıyarak yaptı başarıyı 
Negatif,spoiler veriyorum 
Pozitif,cemal can sistematik olarak tanıdık arkadaşlarına söyleyip olumsuz haberler yaptıranlar oluyor 
Negatif,hakanın bunları söylerken yüzüne bakın kuduruyor icten ice barışı kıskanmaktan dedigini bilmiyor 
Negatif,iq lu nisa bölükbaşı nın kanalına yüklediği videoya bakar mısınız lütfen iq düşürsün lütfen 
Pozitif,şeye rağmen önemlisi nezaket centilmenlik 
Pozitif,sayın hakan hatipoğluna şöyle cevap vermek istiyoruz 
Pozitif,herkes konusur önemli olan icraat 
Pozitif,of nisa avokadoyu bırakmadın çocuk sen klinikteyken bile ona sarılıp uyumuştu 
Pozitif,seviyorum seni babakom 
Negatif,barış fanları cahil maalesef geneli eğitimsiz kesim 
Pozitif,çocuktan fi nalleri almak öyle kolay deği 
Pozitif,kaptan cemal can yaparak takımına son sayısını getiriyor 
Pozitif,kaptanlık oyununda cemalin berkanı almak hadi barış iyi süreyi yap demesini bi tek ben farketmedim heralde 
Pozitif,exatlonda aynı eşleşmeler oluyor 
