Tip,Paylaşım
Negatif,kafasız bir insansın sen kadar net 
Pozitif,sendika siyasi görüş farketmez 
Negatif,hadisikdir len gerzek 
Pozitif,merhaba dimasha düştüm sevgiler 
Pozitif,çocuk istismarının farklı bir versiyonudur çocuğu katletmemişler çocuğun geleceğini katletmişler 
Pozitif,ufak çaplı sezaiye bi laf sokuş haberi olmasa 
Pozitif,bunlara bela okumakta fayda etmiyor insan bunlar 
Pozitif,zmir büyükşehir girişimcilik merkezi kuruyor 
Negatif,sarı patlatırım zarı 
Pozitif,çevreci aktivist ocean ramsey ekibinin hawaideki oahu adası sularında karşılaştıkları metrelik büyük beyaz köpek balığının şimdiye dek karşılaşılan büyüğü olduğuna inanılıyor 
Negatif,arsız pezevenk gelmiş bir selam veriyonn 
Pozitif,sensiz olmaz sensiz olmaz 
Pozitif,tablonun bellini atölyesinden çıkmış olması orijinal olduğunu kanıtlıyor dönemde birçok eser atölyelerde kolektif olarak üretiliyordu müzayede evi christie tablonun orijinliğini doğruladı 
Negatif,yavşaklık sana yakıştı ke mal 
Negatif,aptal evladım 
Negatif,kkablanc ateş sonerse seni öldürürüm 
Pozitif,merhaba size ulaşabileceğimiz soru cevap yapabilecegimiz bir platform varmı 
Pozitif,aptal yerine koymayın bari 
Negatif,gözünü kapandığında canın yansın yaşadığın saniye sana zehir olsun inşallah 
Pozitif,sana allah akıl fikir versin 
Negatif,layı hırsız kulampara alavereci dalavereci 
Negatif,oy tarihini yanliş mi biliyoruz yoksa billboard hindileri süründürem dalgami geciyo bizimle 
Negatif,smi müsemma olan hamza tekin ayasofyanin cami olmasına güzel bir sey olmadı diyerek sataşan satılık bir ite hdini bildiriyor 
Negatif,lan kafir münafıklar aglayin 
Negatif,azgınn kapalı bi kadın var 
Negatif,ben varım cnm sikem seni 
Pozitif,jaknis sevgilim var onunla eglenmek istiyorum bocegim benim bizi selaleleri dusunuyorum eger herif seni rahatsiz eder 
Negatif,drecks ndesöhne die nicht blinken amk bin fast mit einem reingefahren orospusu çoğu piç ibne arabam gidiyordu götveren 
Negatif,yarak başı 
Pozitif,allahım ülkemizde yorum yapan kişilere bakın demet akalın murat övüc gerçekten ikisinin yorumuna kaldık 
Negatif,bunu yapanlar şerefsiz haysiyetsiz onursuz pisliklersiniz 
Pozitif,nsanların aşk dediği hayvanların çiftleşmeye zorlayan kimyasal bir reaksiyondur sert başlar morty yavaşça kaybolur seni başarısız bir evliliğe mahkum eder döngüyü boz morty kendini göster bilime odaklan 
Pozitif,çevrimiçi anket yapmak önerebileceğiniz site hangisi artıları eksileriyle 
Negatif,seni yaxşı sikdi 
Negatif,ordan konuşmak kolay tabi soysuz köpek 
Pozitif,neyse konuşup ikna etti 
Pozitif,sol şeride geçtikten sonra sol sinyali yanmaya devam eden araç sürücüleri gibiyim sol beni kesmiyor sol şeyler istiyorum 
Pozitif,ekonomi berbat ab ülkeye kapılarını açmıyo dolar yi gördü altın gramı ayosafya cami oldu ükle süpergüç oldu yazık halkı salak yerine koymaktan sıkılmadınız 
Pozitif,gözyaşım pıt 
Negatif,bunları sorayım kalkmış bir üç büyütülmüşler falan yazıyor dingil 
Negatif,türkiye nin gelmiş geçmiş büyük eskortusun 
Pozitif,düğün mekanlarında gelin damat hariç halay çekilemeyecek dans edilemeyecek gösteri yapılamayacak 
Pozitif,ismini bile duymamıştım desem yalan olmas 
Pozitif,ceo değil yirmi üç nisanda ceo yerine koltuğa oturtturulmuş çocuk ısırabilsem keşke 
Pozitif,sorulara aşığım cevapların canı cehenneme 
Pozitif,ın ilk dakikalarında yaz gündönümü gerçekleşecek türkiye saatiyle 
Pozitif,ağzının tadını kadar bilmezsin be çocuk 
Negatif,sikeriz yavru 
Pozitif,varken güneş yokken kara bulutlar sarar etrını değilmi 
Pozitif,twitter adındaki çirkin maskeli baloyu bir çocuğun temizliğinde samimiyetinde vazgeçmezliğinde gerçeğe çeviren umarız bir an önce aramıza döner 
Pozitif,ozur dilerim buna maruz kaldiginiz icin ulkemizde izlenecek cok konu var zaten bizi izlemeyin 
Pozitif,kariniza sevgilinize makyaj yaptirmiyorsunuz sonra full makyaj süslü püslü kadınlarla aldatiyorsunuz vla ben bir 
Negatif,üf sen köpek olcak kız mısın istersen yarın gel evimde kraliçe olarak başla 
Pozitif,bunu arabistanda bile yapmazlar lan şaka mi 
Negatif,sanane be zilli 
Negatif,kerhane çocuğu cevap versene 
Pozitif,yaz kurslari başliyor 
Pozitif,mamoğlu ayasofya nın ibadete açılması bir ihtiyacın bulunduğuna inanmıyorum ayasofya nın iç siyasete alet edilme 
Pozitif,arkadaşımı göndermeye kalkan kişi benim arkadaşım olamaz abi 
Negatif,kofte yemek istiyorum artik teki rdag koftesi sti yorum amk yolu bitmiyo kazasi bitti trafigi bti allahini sikem 
Pozitif,selamun aleyküm hayırlı sabahlar bereketli hayırlı cumalar olsun inşallah huzurludaha mutlu güçlü nice günler 
Negatif,siktir sen bücür 
Pozitif,sallamiyorum lusude var 
Pozitif,bugün alanında uzman tane yazılımcı arkadaşım yurtdışına gitmeye karar verdiğini söyledi 
Pozitif,kimsenin krallığına soytarı olmadık yüzdendir dik başlı duruşumuz 
Negatif,sie amcık 
Pozitif,müşteri hizmetlerine bağlanmayı beklediğim kadar annemin karnında beklemedim dönülmez akşamın ufkunda bekliyorum 
Pozitif,şimdi ders çalışmaya çalışacağım inşallah çalışırım 
Pozitif,sabrınsonnoktası yağhaz 
Pozitif,nanmıyor musunuz 
Pozitif,ders çalışmak değil kitap okumak istiyorum hayat işte istediğimizi vermiyor 
Negatif,bacının amcına sokim 
Negatif,seni sana anlatsam orospu çocuğu dersin 
Negatif,aklima soktun baska erkegi gelsin artik gelecekse icindeki fahise harekete gecti sanirsam 
Pozitif,ayasofya önce açmanın yanlış olacağını söyleyen akp genel bşk rte şimdi oyları erimeye başlayınca kurtuluş 
Pozitif,çocuğa ensar vakfında tecavüz edilirken bir kereden bir olmaz diyenler bugün toplumsal değerlerden bahsedemezler 
Pozitif,antalya falezlerinde bulunan çantada roma dönemine ait yıllık olduğu değerlendirilen tarihi heykel ortaya çıktı polis ekipleri yaklaşık kilo ağırlığındaki heykeli metrelik falezlerden btaniyeye sararak çıkardı 
Negatif,vay orospu cocugu 
Negatif,gıda sahtekarlığı türk milleti ni kanser yapan oç katleri korumak müslümanlar yasa yapıyor 
Negatif,tam bir sömürge kişiligi sömürge kişiligi ezik kişiliktir 
Pozitif,selma anne bedli askerlik diger konulardaki gençlere hassasiyetinizin farkindayiz 
Negatif,yg yıkıl karşımdan dangalak herif 
Negatif,başınıza sokayım 
Pozitif,ayında geçirdiği gribin korona olduğunu iddia edenler derneği kurmak istiyorum 
Negatif,pestenkeran mal mısın olum sen biçim argüman 
Pozitif,cumhuriyet birlikte eğitim alan kadınlar çalışma hayatına atılırlar doktor mühendis mimar akademisyen bankacı sanatçı sporcu ziraatçı pilot pek farklı alanda artık kadınlar vardır 
Negatif,ajanmış köpek iran asıllı türkiye istihbaratına sızmış hain şerefiz umarım oradakiler peşini bırakmaz 
Negatif,ah bi versen amın bayram ederdi bebegim 
Pozitif,allah işlerinde bereket versin nşlah 
Negatif,cemalin ailesi çıkıp kimseye ailesine küfür etmiyor anasını sikti topun demiyor attığın fodla alakasız bir olay sıvayamıyorsunuz ona gülüyorum 
Pozitif,tenceredeki yemek azmış 
Pozitif,covid testim pozitif çıkmış demeyelim günlük dinlenme hakkı kazanmışım diyelim evet arkadaşlar insan herkese olur bana olmaz düşünüyor malesef öyle olmuyor 
Negatif,ademkaracoban hak hukugu pezevenk aile aciklama yapiyor sizin orospu evlatlari ortalik karistiroyor 
Negatif,yine taşak konusu oldun 
Pozitif,güzel detay 
Negatif,sondan önceki söz tagı açan çomarlar değil 
Pozitif,kendini vazgeçilmez sananların hiçbiri şuan hayatımda değil gayet mutluyum 
Negatif,sinirlerim bozuldu alın sizin bozulsun 
Negatif,bunların parti politikaları terbiyesizlik üzerine bayan milletvekilinin ahlak dışı konuşmaları yakışmayan hareketler okadar vizyonsuzlar böyle ahlak dışı şeylerle gündeme geliyorlar 
Negatif,anskim tatli lan salak 
Pozitif,yamuk yazıyorum ilk okul öğretmenim kızardı ben ağlardım hala yamuk yazıp insanları delirtiyorum 
Negatif,haberden bahsetmiyorum ahmaak herif haber sonuç beğenilmeyince seçimin tekrarlanmasından 
Pozitif,şok gelişme acun ilicali sosyal medyadaki hesaplarini gönüllülerfc olarak deyişti 
Pozitif,katil otoban projesi istemiyoruz 
Pozitif,bahanedir başarılar rağmen cümleleriyle başlar 
Pozitif,aynı duyguları paylaşıyoruz 
Negatif,yarrak olsam öper başıma korum diyecem olay çirkinleşiyor 
Pozitif,saç gözükmeyecek kıl kaş kirpik kıl değil mi 
Pozitif,gördü 
Pozitif,oysa istemez gün ilkbahar günü 
Pozitif,petrolle adam olunsa sevinçten ölürüm japonya sıfır yeraltı zenginliği zenginlik ona buna çamur atmayan zihinlerdir 
Negatif,eskort yada kerhane pezevenk desen dogru olmazmi 
Pozitif,aryaya şimdi sahip çıkmayalar öldükten sonra sadece kınayacaklar asla değişmeyecek öldükten sonra gündeme getirmek moda ülkede 
Pozitif,bir kadının ölü bulunmasına çıplak olarak ölü bulunması bir farkındalık katıyor hasta mısınız bir kadının ölümünden böyle bir menfaat arayışına girmek bir gazeteciliktir rezlik 
Negatif,kaşar ağır küfürleri hak ediyor 
Negatif,herşey ortada zaten video resim erkek diyenlerin aklına sokim aciz orospu piçler 
Pozitif,nba yıldızı lebron james in imzası olan bir basketbol koleksiyon kartı açık artırmada rekor fiyata alıcı buldu sınırlı sayıda üretilen kartın durumunun temiz olduğu açıklandı 
Pozitif,aldatılırım korkusuyla milyonlar evlenmiyor haklılar bakınız adam evli sevgilisi var bunu kimse sorgulamıyor yazık 
Negatif,can çekişerek ölmek 
Pozitif,vida nın geçen haftada kesilmesi lazımdı gram haz almıyorum 
Negatif,bi konyalılar var bunlara ağzıma geleni söylüyorum diğer dedem konyalı ölmeden önce konyalıların atasını sikem derdi dünyada sevdiğim konyalıydı rahmetli öbür dedem kürttü onun ben topani sikem 
Negatif,para alıp tagı zirveye çıkaran twitter seninde amk 
Pozitif,sen mükemmel bir program detayısın 
Pozitif,aklımda güzel editler var yeteneksiz bir oc olduğum sadece aklımda editler 
Pozitif,çikolata yiyemiom alerjim geçene kadar yasak 
Negatif,mal cihanın poposu 
Pozitif,keşke sadece sınavı rezillik olsa öğrenciye it muamelesi yapılıyor övünebildikleri tek yeşil kampüs 
Negatif,günaydın prensesler 
Pozitif,allah razı olsun saolasin teşkür ederim abim 
Pozitif,atiba özel bir karakter müthiş bir profesyonel 
Negatif,yılan karı 
Pozitif,balıkları yiyor balıkçılar öldürüyormuş yaşamak yunusun tek besin kaynağı olan balığı yediği nsan dışında hiçbir canlının yaşama beslenme güvende olma hakkı yok düzende 
Pozitif,havalar oldukça sıcak seyrediyor 
Pozitif,yarışmaya gidecek olursam ilerde tek isteğim elanur öyküden biraz hızlı olmak elanur aşko atışların mükemmel bitiricilik yok 
Pozitif,süpersin uğur amca sen susma 
Negatif,şovmen bir ibne 
Negatif,bugün mersin sanayide parçayı değiştirdim inanır mısınız tuttu işçilik hariç sokam sizin tutan balkon dekorunuza 
Negatif,eski sevgilime yıla yakın orospu olcaksın diyordum haklı çıkmışım insanlardaki ışığı görüyorum amk 
Negatif,senin kanını akıtır sana içiririm 
Pozitif,kıskançlık insanı kemiren bir duygu 
Pozitif,klavye son sık yazdıklarını önerir gerçekten kurmuşsun cümleyi aisnkqkslakhwwljd 
Negatif,lafı bi araya getirip düzgün cümle kuramayanlar soruyu görmeden gerçi görse anlayabilecek kapasitede olmayan şuursuzlar topluluğu sorunun iptal edilmesini istiyor garip bi ahlak anlayışları var fırsta bozuluyor nedense taciz tecavüzde sus pus 
Negatif,ben böyle hayatın amk 
Negatif,sen espiri yapma amk cocu 
Negatif,benim aptal herif yasin görmüyor barışı görüyor 
Negatif,salak beceriksiz napoli senin amına koyam takım ben 
Pozitif,allah rahmet eylesin kadın cinayetleri artık son bulsun 
Pozitif,ee zaman avukat gavur 
Pozitif,adamın annesi ordaki yarışmacılarla dalga geçerken neredeydi insanlığı 
Negatif,ananıda satalım ıstersen oc 
Pozitif,geçen yıl evrime inanmıyorum maymundan geldik zırvalayan bir tanıdığım bugün virüs mutasyona uğrayacak galiba kurtuluyoruz dedi 
Negatif,herkes yapıyo ben yapınca nolmu cümlesini söyleyen var gözümde direkt aptal orospu çocuğunun teki oluyo 
Pozitif,kimse aptal değil 
Pozitif,beyazlar içinde güzelsin meleğim canımın içi işıl ışılsın parlıyorsun prensesim 
Pozitif,kime isterse gitsin istiyorsa yapsın konuşmaya değecek başka bir şeyiniz yok 
Pozitif,exut 
Pozitif,köpek yattığı yerden ürkmesin mesafeyi uzatmak 
Negatif,aptal orospu çocukları nolur benden uzak durun 
Negatif,amk un denyosu bir şeyi içi boş kafana sok sus 
Negatif,sabahtan gördüm seni aşifte geldin bana 
Pozitif,üstad necip fazıl kısakürek in yıl önce dediği bekleyin gençler bugün yarın ayasofya açılacak 
Pozitif,başlasın hormon savaşları 
Pozitif,şüphesiz benim namazım diğer ibadetlerim yaşamam ölümüm lemler rabbi içindir 
Negatif,senin kafanı keserim hıyar 
Pozitif,sol yanın çiçekler açsın çocukeksilmedeneksiltmeden 
Pozitif,gerçek yüzünü bulacağımı bilsem aramazdım 
Negatif,pkk li piclerine burdan sesleniyorum senin karına kızına karına ilismeyen mahsum genc türk askerine silah doğrultup kahpece vurup kaçmasını biliyorsuz erkekseniz sizin yaşındaki kizbebesini sikip sonrada ylu dur diyen savcı sayan ın yardimcisina ders verin amk 
Negatif,benimsin kara toprağın barzo seviyodur 
Pozitif,arkanda yeşil önünde mavi 
Pozitif,çocuklara türkçe çalıştırıyorum manav kelimesini anlatamadım hayatlarında manav görmediler fincesini bilmiyorum bütün zerzevat süpermarketten alınıyor kasap dkanı görmediler kasap süpermarkette etleri kesen kişidir anlatabildim 
Pozitif,ayvalikta sarimsakli tarafina yakin yeni carahori koyü var kucukkoy geciyo cundadan guzel kesinlikle eski bizans koyü pek bilen yok tavsiye ederim 
Negatif,modernleşicem gavat olmaya gerek yok geri kafalı olmak gavat olmaktan herzaman iyidir 
Pozitif,yalnız bilmediğiniz bir var sanırım 
Negatif,sey degil mi herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan kat ahlaksiz hareketler yapan kişi 
Pozitif,ahmedim aslanım nice senelere doğum günün kutlu olsun kardeşim 
Negatif,yelloz herkese hayır diyordu şimdi buna hayır deme zamanıdır 
Pozitif,sıcaklıklar derece arasında düşecek 
Pozitif,simdi turkce odevi yapiyo soruda diyo mideniz size mektup yazsa yazardi yazmis kisevgili furkan dengeli 
Pozitif,tanışamadık buda büyük şoktur arkadaşlar 
Pozitif,sevgilinle fındık yiyebilirdin 
Pozitif,tamam dolar lira euro lira dağda tane pkklı kaldı sık dişini biraz militarist hesabımdan 
Negatif,masturbasyon yap gecer 
Pozitif,nefesimi kesiyor la nefes aldırmıyor garip mantık aynı lakin anlam farklı 
Pozitif,nedenler içinde kaybolmuş bedenler 
Negatif,virman zırtapoz sökük dikkafalı 
Pozitif,saf olduğum değil değer verdiğim tolere ediyorum yaptıklarınızı keşke bir olsun sevildiğimi hisstirseniz 
Negatif,sapık bela cevap vermeye devam edersek muhakkak bundan zevk alıp yine böyle iftira atarak devam edecek aylarca bunun durum vahim sefiln sefili insan gurubunda sadece uzak durmak cevap fayda etmez ona kalbi kör duymaz görmez nuhun oğlu 
Negatif,bukadar beyinsiz olabilir mi yaww iki farklı yeniksin oyun cu değişiyor ln taşak geçer 
Pozitif,bana tehditlerde bulunan adam kendisini hacı hoca olarak gösterip genç kızlardan aldığı çıplak fotoğraflarla tehdit ediyor 
Negatif,salak mısın cemile 
Pozitif,boy kilo önemi yok tip minyon tipsiz maddiyat babamız sağolsun komiklik komik olduğumu düşünmüyorum karsı cinsten cok duyduğun söz baya iyi sır sakladığım iyi dost olduğum zeka seviyesi kendimize yetecek kadar şükür 
Negatif,keşke ergen olsaydım koluma faça atsaydım öyle bir arzu gülmüyorum böyle şakalara komik değil koala şırfıntı bozuntusu 
Pozitif,slam alemini güçsüz bırakmak ezik cahil kalitesiz göstermek isteyenlerin ilk hedefi sn adnan oktar arkadaş 
Pozitif,radamel falcao yu gören cennetlik 
Negatif,şimdi eline abaküsünü al hesaplamaya başla seni matematik özürlü herif 
Pozitif,netfilx bir dizi izledim adam köpeğe tecavüz edip işkence ederek öldürüyordu sonra adam tutuksuz yargılanarak serbest bırakıldı 
Pozitif,boş bir fan grubu degiliz böyle güzel işlerede zaman el atarız hadi seslerini duyuralım tagı mente bırakarak twe 
Pozitif,barış şuan inanılmaz bir destek var 
Negatif,sevmeye bilirsin sike sike saygı duymak zorundasın 
Negatif,hedef ben miyim orospu çocuğu instagram hedef ben miyim sizin koşulunuzu sikiyim 
Negatif,knk uygulamanin kurucusu pezevenk olmus oluyo 
Negatif,sosyal medyadan çevresinden gelecek türlü linci hakediyor 
Negatif,ukksl foto sahibi gavat la tanışmak isterim 
Negatif,başkan yapacağın işe sokam hafta takım bay geçecek vay fixtürde takımı takip edenin haline 
Pozitif,netflix in kurucusu hastings in ay önce nternet yayıncılığına müdahale gelirse yapacaksınız sorusuna verdiği yanıt suudi arabistan pakistan varız oralarda sorun çıkmayacak türkiye mi çıkacak böyle bir düşünemiyorum 
Negatif,orospu catelyn 
Negatif,yi fikir ariel şaron can çekişerek gebersin 
Negatif,ulan herkes konussun sen sus şikeci ibne 
Pozitif,sana git diyemem kal demek gelmiyor içimden 
Pozitif,kuopio üç rus askeri kucaklarında oyuncak bebek fotoğraf çektirmiş oyuncak bebekle bilmiyorum bilen 
Negatif,düşün bi çocuğun var yaşına kadar getiriyorsun onu zorunlu olarak askere alıyorlar orada amına koduğumun badem bıyıklısı tedbir almadığı patlayan fabrikasında kalan malzemeleri imha herhangi bir tedbir almadan naklederken patlayarak ölsün hay ananızı sikeyim 
Negatif,demek istiyorsun ulan amına kodumun evladı 
Negatif,senin ağzına sokayim göksel piçi 
Negatif,tutuklansin ben adalete inanayım senin ben soyunu sopunu zihniyetini skm 
Negatif,kaypak satılık şerefsiz 
Negatif,orospu evlatlarının kümesidir can çekişerek ölürken felsefeni iyi hatırla aqdumun evladi 
Negatif,yaşlı insanların şehiriçi otobüslerinden tam inecekleri an andaval şoförün dikkat 
Negatif,üç beş fav kadar yalaka olmanıza gerek yoktu yahu 
Negatif,herkese günaydın senin allah belanı versin yloz kevaşe 
Pozitif,cekiyorum insanları sıkmamak lazım 
Pozitif,arada defter değeri goody güncel değil sorunda orda milyon usd taşınabilir mal yatırımı var sahio olduğu taşınmazlar tarihi itibariyle gösteriliyor şirketler şfaf değil türk borsası böyle bilgi akışı asla yok yüzden fiyatta asla asla deme 
Negatif,sizdeki kürt düşmanlığı kadar yoktur embesil hamam böcekleri 
Pozitif,ilk gün canım sen tatlısın 
Negatif,boynuzister of süper olur varmıdır böyle karıları olan 
Negatif,ulkesini aşağılayan aptal güruh doluşmuş yine yorumlara 
Negatif,taze sert sokuş yemiş matih merim surati 
Negatif,şerefsiz orospu çocuğu 
Pozitif,din dil ırk yetmedi bi makyaj eksikti hayırlı olsun 
Pozitif,çikolata yemekten asla vaz geçemem aşk bildiğin 
Pozitif,geçen sene milyon ziyaretçi türkiye nin ziyaret edilen gelir getiren müzesini giriş ücreti pahalı iki müzeden birisi kaybederken normal bir kültür bakanlığı ancak yas tutar 
Negatif,sıfatsız bir televizyona çıkmış hala konuşuyor 
Pozitif,yaptığımız testleri veri setine ekleyecek mekanizmayı oluşturmak işimizi gördü 
Negatif,şerro geber gi mv erteledi ği çi zlenme düşerse geberti ri seni 
Negatif,vatan haini 
Negatif,anten misin veled 
Pozitif,garip bir adam olduğunu biliyoruz öyle işler başarması normal olmaması gerekiyor 
Negatif,ebeni amna engelle piç takibi birakmisim ben ebeni engle satilik kahpe 
Pozitif,oh şimdi rahatladım 
Pozitif,huylarımdan ben bile sıkıldım yanımda olacak insana sabır diliyorum şimdiden 
Negatif,kaşımı size sokim arkadaşlar almıyorum mesaj atmayın yeter aq 
Negatif,hala buralarda tahat rahat küfür edebiliyoken edem bari yapcaniz isi sikem beh 
Pozitif,tatlısın 
Negatif,maicon mis pislik yapiyor 
Pozitif,yeni bir kız arkadaş edindim tanıştığımızdan beri makyaj konuşuyoruz alahh 
Pozitif,kusura bakma kardeş güldüremedik seni 
Negatif,yalanı öyle bi atacaksın doğrununda anasını sikeceksin 
Negatif,trabzonspor senin karakterinin içine sıçayım ulan karaktersiz video yavrucak düşünülerek video yapılmış allah dua et zat kalk bir gün sende muhtaç kalma spora bakışınıza sokam 
Negatif,sülaleni sikeyim 
